user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,url
NappaPeter,2022-01-30 23:56:23+00:00,en,0,0,0,0,"@JustAMomNamedMP Happy? Whats that? Have never been I ve always been alone not my choice at all  No phone calls letters texts nothing! There lots I can talk about/ major interests Sports Music History 
Have an interesting sense of humor🤣 Super clean Would like to have fun before I die💔", 
rvnbrb,2022-01-30 23:53:43+00:00,en,1,0,0,0,Thinking about this moment in music history…the time Bey and Nicki fans had in 2013-2014 😫 https://t.co/d2NhAgxYlT,
NickVitals,2022-01-30 23:40:37+00:00,en,3,0,0,0,The first 5 seconds of Self Esteem by The Offspring might be the shittest moment in music history and I love it., 
slydisciple,2022-01-30 23:25:05+00:00,en,1,0,1,0,"𝐑𝐞𝐩𝐨𝐬𝐭𝐞𝐝 𝐟𝐫𝐨𝐦 $𝐁𝐢𝐭𝐂𝐥𝐨𝐮𝐭𝐌𝐮𝐬𝐢𝐜𝟔𝟎𝐬𝟕𝟎𝐬𝟖𝟎𝐬

https://t.co/qaooVZhXFR

💖✌️🎧🎤🎸🥁🎹🪗🎺🎼🎷🎻🪕🪘 $_music #music

🎼This Day in Music History🎼 

January 30, 1996 - Eazy-E

Eazy-E released his rap album “Str8 off The Streetz
of Muthaphuckin Compton”.",https://open.spotify.com/album/0umrOgW6cW8433tJIzuz7S
internetsession,2022-01-30 23:06:31+00:00,en,2,0,0,0,trying to actually listen to the composers that i am supposed to know and care about but o really don’t care about most western classical composers im so sorry to my music professors. maybe when i get to study music history, 
sunkissest,2022-01-30 22:52:35+00:00,en,1,0,0,2,best thing that ever happened in the music history idc idc, 
MarkChristansen,2022-01-30 22:38:45+00:00,en,2,0,0,0,"South Wales Music history in the making next week!!!

Please read &amp; become a part of history yourself!!!

Full story - https://t.co/znAJcTv8Pq

@ScarletRebels @EaracheRecords @TMRManagementUK @MTMNAE @ITVWales @ITVWalesAndWest @S4C @southwalesargus @LlanelliStar @Carmjournal",https://m.facebook.com/story.php?story_fbid=3166065710317547&id=100007424466903
MarkChristansen,2022-01-30 22:34:14+00:00,en,1,0,0,0,"South Wales Music history in the making next week!!!

Please read &amp; become a part of history yourself!!!

Full story - https://t.co/znAJcTv8Pq

@ScarletRebels @EaracheRecords 
@TMRManagementUK @MTMNAE
@WalesOnline @TheWave @947thewave @BBCCymruWales @BBCWalesPress @BBCCymru",https://m.facebook.com/story.php?story_fbid=3166065710317547&id=100007424466903
MarkChristansen,2022-01-30 22:29:10+00:00,en,1,0,0,0,"South Wales Music history in the making next week!!

Please read &amp; become a part of history yourself!!!

Full story - https://t.co/znAJcTv8Pq

@ScarletRebels @EaracheRecords @MTMNAE @TMRManagementUK @hardrockhell @PlanetRockRadio @TotalRockRadio0 @TotalRockOnline @AmazonMusicUK",https://m.facebook.com/story.php?story_fbid=3166065710317547&id=100007424466903
Mitsouko0,2022-01-30 22:28:37+00:00,en,1,0,1,0,"@BookBanter @DesmondIanOCon1 I know how much Alex enjoyed this album, after winning a big online poll as best live album against 100 strong contenders as the greatest live album in music history. 
I feel the same, proud and happy. https://t.co/mZcJgXQVXq",
stephlevac,2022-01-30 22:27:21+00:00,en,0,0,0,2,But kids today don't know or care about essential music  history...only Joe Rogan. 😏 https://t.co/JDEjwhgumB,
Wildaboutmusic,2022-01-30 22:25:07+00:00,en,23,0,1,4,"RIP to @countrymusichof inductee Hargus ""Pig"" Robbins who played on so many of the greatest recordings in Country Music history. His piano on this @TheCrystalGayle classic was one reason that this was the very first Country Music 45 that I ever bought. 
https://t.co/vyt2ALNLHQ",https://www.youtube.com/results?search_query=crystal+gayle+brown+eyes
MarkChristansen,2022-01-30 22:20:11+00:00,en,1,0,0,0,"South Wales Music history in the making next week!!

Please read &amp; become a part of history yourself!!!

Full story - https://t.co/znAJcTv8Pq 

@ScarletRebels @EaracheRecords @TMRManagementUK @MTMNAE @NWOCRofficial @EmergingRock @hmvtweets @AmazonUK @hmvBirmingham @hmvManchester",https://m.facebook.com/story.php?story_fbid=3166065710317547&id=100007424466903
snelhestman,2022-01-30 22:19:43+00:00,en,0,0,1,0,@RenHek8 @NotRussian7 It's too early to say that she is just a footnote in music history. That's what they would say about Elvis during his peak and other iconic artists such as Madonna or Kate Bush., 
NeDuoDuo,2022-01-30 22:16:17+00:00,en,1,0,0,1,"Chinnese piano one: 筝 Zheng , has more than 3000 years of music history. Playing method is different from the modern West piano which is striking which is plucking instead

古筝演奏《真的好想你》 https://t.co/oRBtUfXfqI",https://youtu.be/J6oYrZwII74
TheArtoftheSou1,2022-01-30 22:14:34+00:00,en,2,0,1,0,"@liveid6 @neworder @JDNOPICS @ManchesterDose @MusicOfMCR @peterhook There’s no doubt that some of the best melodies, hooks and riffs in pop &amp; rock music history come from @peterhook’s bass. The notes he picks over the chords are glorious, the guy is a genius. ♥️👌🏻", 
thejidetaiwo,2022-01-30 22:10:04+00:00,en,32,3,11,15,Used to think my music history was gangsta until my wife let it be known that Coolio's Gangster's Paradise was a sample of Pastime Paradise by Stevie Wonder. I never knew that and now I can't ask her to pass the aux anymore., 
PhxSoul,2022-01-30 22:10:02+00:00,en,0,0,0,0,Jermaine Lockhart &amp; Gabriel Bey and the Mainstream Band to perform in Black Music History Concert Tribute to Miles Davis @chandlerarts on February 25! Click here for tickets and more details: https://t.co/D0eDH15kXd https://t.co/LGkwMty8Hm,http://ow.ly/NLJz30s90ok
